t,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,yaw,ls_y,rs_x,rs_y,lag_rad,frozen,f_press_N,chassis,w0,w1,w2
0.3743,0.923131,-1.045665,0.967763,-0.142857,0.252747,-0.164837,0.923512,-1.046046,0.968144,0.007629,-0.007629,0.007629,-0.012210,-0.041514,-0.007326,-0.282032,-0.152167,0.196878,-0.282086,-0.152196,0.196774,0.320464,0.376109,3.005089,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.3844,0.923512,-1.046046,0.968144,0.208790,-0.098900,-0.032967,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,0.007326,-0.017094,-0.012210,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005081,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.3942,0.923512,-1.046046,0.967763,0.076923,-0.164837,-0.384617,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,0.021978,-0.036630,-0.031746,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.005069,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.4057,0.923131,-1.046046,0.968144,-0.252747,0.010990,0.032967,0.923512,-1.046046,0.968144,0.007629,0.000000,0.000000,-0.012210,-0.012210,-0.012210,-0.282103,-0.152117,0.196788,-0.282086,-0.152196,0.196774,0.320503,0.376095,3.005056,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.4160,0.923512,-1.045665,0.968144,0.560440,0.296703,0.098900,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,0.012210,0.007326,-0.026862,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.005049,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.4252,0.923512,-1.046046,0.968144,0.164837,-0.120880,-0.208790,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.007326,-0.017094,-0.036630,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005050,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.4354,0.923512,-1.046046,0.968144,0.230770,0.120880,0.516483,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.007326,-0.007326,-0.007326,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005038,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.4448,0.923131,-1.046046,0.968144,-0.340660,0.274727,0.054947,0.923512,-1.046046,0.968144,0.007629,0.000000,0.000000,-0.017094,-0.002442,-0.026862,-0.282103,-0.152117,0.196788,-0.282086,-0.152196,0.196774,0.320503,0.376095,3.005034,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.4549,0.923512,-1.046046,0.968144,0.032967,-0.230770,0.164837,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.012210,0.002442,0.007326,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005028,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.4650,0.923512,-1.045665,0.968144,0.032967,0.120880,0.164837,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.017094,-0.031746,0.002442,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.005024,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.4751,0.923512,-1.046046,0.968144,0.164837,0.186813,0.142857,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.031746,-0.026862,-0.007326,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005011,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
