t,s_m,pct,plane,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,lag_rad
0.4398,0.03520,0.29,APPROACH,0.346721,0.526777,0.464978,-0.296703,0.428570,0.274727,0.326116,0.544844,0.475496,-0.412099,0.361336,0.210357,-0.202686,0.002442,-0.041514,0.013696,0.037082,0.427572,0.015444,0.045648,0.427068,0.039531,0.429395,0.020605
0.4503,0.03600,0.30,APPROACH,0.344813,0.530210,0.466885,-0.274727,0.714287,0.296703,0.324477,0.546287,0.477267,-0.406730,0.321527,0.207624,-0.183150,-0.075702,-0.065934,0.014048,0.038221,0.427650,0.015380,0.046446,0.427068,0.040721,0.429584,0.020337
0.4604,0.03680,0.30,APPROACH,0.343287,0.533262,0.468793,-0.296703,0.538460,-0.120880,0.322847,0.547739,0.479047,-0.408808,0.289543,0.205086,-0.207570,-0.114774,-0.070818,0.014315,0.039219,0.427741,0.015316,0.047243,0.427068,0.041750,0.429774,0.020440
0.4705,0.03760,0.31,APPROACH,0.341380,0.537077,0.471082,-0.362637,0.450550,0.406593,0.321226,0.549202,0.480837,-0.403074,0.242496,0.195112,-0.173382,-0.251526,-0.051282,0.014671,0.040454,0.427847,0.015251,0.048041,0.427068,0.043032,0.430006,0.020154
0.4803,0.03840,0.32,APPROACH,0.340236,0.540129,0.472607,-0.208790,0.384617,0.208790,0.319615,0.550674,0.482637,-0.412414,0.210905,0.200591,-0.261294,-0.275947,-0.046398,0.015023,0.041312,0.427944,0.015187,0.048838,0.427068,0.043959,0.430196,0.020621
0.4906,0.03920,0.32,APPROACH,0.338328,0.544325,0.474515,-0.406593,0.098900,0.120880,0.318013,0.552156,0.484447,-0.406313,0.156622,0.198634,-0.178267,-0.305250,-0.065934,0.015550,0.042548,0.428036,0.015123,0.049635,0.427068,0.045301,0.430426,0.020316
0.5005,0.04000,0.33,APPROACH,0.336802,0.548522,0.476041,-0.098900,0.384617,0.076923,0.316420,0.553648,0.486266,-0.407657,0.102516,0.204502,-0.188034,-0.315019,-0.075702,0.016162,0.043645,0.428135,0.015059,0.050433,0.427068,0.046542,0.430657,0.020383
0.5110,0.04080,0.34,APPROACH,0.334895,0.551955,0.477948,0.164837,0.208790,0.120880,0.314836,0.555149,0.488095,-0.401187,0.063885,0.202934,-0.085470,-0.300366,-0.056166,0.016518,0.044783,0.428191,0.014995,0.051230,0.427068,0.047732,0.430844,0.020059
0.5207,0.04160,0.34,APPROACH,0.332606,0.555007,0.479855,0.054947,0.406593,0.494507,0.313261,0.556661,0.489933,-0.386904,0.033080,0.201561,-0.168498,-0.256411,-0.041514,0.016789,0.045962,0.428199,0.014930,0.052028,0.427068,0.048932,0.430986,0.019345
0.5308,0.04240,0.35,APPROACH,0.330317,0.557296,0.481381,-0.120880,0.274727,0.516483,0.311696,0.558182,0.491782,-0.372436,0.017731,0.208011,-0.168498,-0.212454,-0.026862,0.016970,0.046994,0.428157,0.014866,0.052825,0.427068,0.049964,0.431063,0.018622
